Cargo,GRUPO EMPRESA,Matricula,Idade,Estado,Classif. Salário,Situação,Tempo de Empresa,Vale Aliment.,Vale Refei.,Vale Transp.,Qtd. Dependentes,Conv. Médico,Conv. Odonto,Qtd. Promoções,Predição
TEC EM SEGURANCA JR,EMPRESA C,C01958,42,ES,Médio,0,"0,1","0,0","1,0","0,0","0,0","0,0","0,0","0,0",Será desligado
COMPRADOR SR,EMPRESA A,A08135,42,SP,Alto,0,"0,1","0,0","1,0","0,0","3,0","0,0","0,0","0,0",Será desligado
AJUDANTE LIMPEZA,EMPRESA B,B02779,42,SP,Médio,0,"0,11","0,0","1,0","1,0","0,0","0,0","0,0","0,0",Será desligado
CALDEIREIRO PL,EMPRESA A,A10712,42,SP,Médio,0,"0,11","0,0","1,0","1,0","2,0","0,0","0,0","0,0",Não sera desligado
ARTIFICE CIVIL,EMPRESA C,C03233,42,MT,Médio,0,"0,12","0,0","1,0","0,0","0,0","0,0","0,0","0,0",Será desligado
MECANICO REFRIG PL,EMPRESA C,C02357,42,RJ,Alto,0,"0,12","1,0","1,0","0,0","0,0","1,0","0,0","0,0",Será desligado
AUX PLANEJAMENTO,EMPRESA A,A01507,42,SP,Médio,0,"0,12","0,0","1,0","1,0","2,0","0,0","0,0","0,0",Será desligado
CALDEIREIRO PL,EMPRESA A,A09169,42,SP,Médio,0,"0,13","0,0","1,0","1,0","0,0","0,0","0,0","0,0",Será desligado
ELETR. MANUTENCAO PL,EMPRESA A,A03282,42,SP,Médio,0,"0,13","0,0","1,0","1,0","2,0","0,0","0,0","0,0",Será desligado
ELETROMECANICO PL,EMPRESA C,C02712,42,SC,Médio,0,"0,15","0,0","1,0","0,0","1,0","0,0","0,0","0,0",Será desligado
SOLDADOR PL,EMPRESA C,C02076,42,SP,Médio,0,"0,16","0,0","1,0","0,0","1,0","0,0","0,0","0,0",Será desligado
OFICIAL DE MANUTENCAO,EMPRESA C,C01982,42,SP,Médio,0,"0,21","0,0","1,0","0,0","2,0","0,0","0,0","0,0",Será desligado
TECNICO MECANICA,EMPRESA C,C03571,42,SP,Médio,0,"0,21","0,0","1,0","0,0","3,0","0,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B05980,42,MG,Médio,0,"0,24","1,0","1,0","0,0","3,0","1,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B06109,42,MG,Médio,0,"0,24","1,0","1,0","0,0","0,0","1,0","0,0","0,0",Será desligado
ARTIFICE CIVIL,EMPRESA C,C03716,42,SP,Alto,0,"0,24","0,0","1,0","0,0","0,0","0,0","1,0","0,0",Será desligado
CALDEIREIRO PL,EMPRESA A,A02293,42,SP,Médio,0,"0,24","0,0","1,0","1,0","0,0","0,0","0,0","0,0",Será desligado
MECANICO REFRIG PL,EMPRESA C,C00038,42,SP,Médio,0,"0,24","0,0","1,0","0,0","3,0","0,0","0,0","0,0",Será desligado
OFICIAL DE MANUTENCAO,EMPRESA A,A10060,42,SP,Alto,0,"0,24","1,0","1,0","1,0","0,0","0,0","0,0","0,0",Será desligado
OFICIAL DE MANUTENCAO,EMPRESA C,C03117,42,SP,Médio,0,"0,24","0,0","1,0","0,0","0,0","0,0","0,0","0,0",Será desligado
SUPERVISOR,EMPRESA C,C02429,42,SP,Médio,0,"0,24","0,0","1,0","0,0","0,0","0,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B04500,42,SP,Médio,0,"0,25","0,0","1,0","0,0","1,0","0,0","0,0","0,0",Será desligado
CALDEIREIRO PL,EMPRESA C,C02798,42,SP,Alto,0,"0,26","0,0","1,0","0,0","2,0","0,0","0,0","0,0",Será desligado
ELETR. MANUTENCAO PL,EMPRESA A,A01468,42,SP,Médio,0,"0,26","0,0","1,0","1,0","3,0","1,0","0,0","0,0",Será desligado
JARDINEIRO,EMPRESA B,B06184,42,SP,Alto,0,"0,26","1,0","1,0","0,0","0,0","0,0","0,0","0,0",Será desligado
AUX ADM JR,EMPRESA A,A02244,42,SP,Médio,0,"0,29","0,0","1,0","1,0","1,0","1,0","0,0","0,0",Será desligado
ELETR. MANUTENCAO JR,EMPRESA C,C02850,42,SP,Médio,0,"0,31","0,0","1,0","0,0","3,0","0,0","0,0","0,0",Será desligado
MECANICO REFRIG PL,EMPRESA C,C00263,42,AL,Alto,0,"0,33","1,0","1,0","0,0","0,0","0,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B06853,42,SP,Alto,0,"0,33","1,0","1,0","1,0","0,0","0,0","0,0","0,0",Será desligado
SOLDADOR PL,EMPRESA C,C03039,42,SP,Alto,0,"0,33","0,0","1,0","0,0","0,0","0,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B02464,42,SP,Médio,0,"0,38","0,0","1,0","0,0","0,0","0,0","0,0","0,0",Será desligado
AJUDANTE LIMPEZA,EMPRESA B,B06338,42,MG,Alto,0,"0,4","0,0","1,0","1,0","3,0","0,0","0,0","0,0",Será desligado
SOLDADOR PL,EMPRESA C,C02001,42,SP,Médio,0,"0,46","0,0","1,0","1,0","2,0","0,0","0,0","0,0",Será desligado
SOLDADOR PL,EMPRESA C,C02193,42,SP,Médio,0,"0,46","0,0","1,0","0,0","1,0","0,0","0,0","0,0",Será desligado
SOLDADOR PL,EMPRESA C,C02274,42,SP,Médio,0,"0,46","0,0","1,0","1,0","1,0","0,0","0,0","0,0",Será desligado
MECANICO PL,EMPRESA A,A06704,42,SP,Médio,0,"0,47","0,0","1,0","0,0","3,0","0,0","1,0","0,0",Será desligado
ELETROMECANICO PL,EMPRESA C,C02073,42,SP,Médio,0,"0,48","0,0","1,0","0,0","1,0","0,0","0,0","0,0",Será desligado
LIDER DE MANUTENCAO,EMPRESA C,C02229,42,SP,Médio,0,"0,48","0,0","1,0","1,0","2,0","0,0","0,0","1,0",Será desligado
SUPERVISOR,EMPRESA C,C02187,42,SP,Médio,0,"0,49","0,0","1,0","0,0","2,0","1,0","1,0","0,0",Será desligado
TEC EM SEGURANCA PL,EMPRESA C,C02158,42,SP,Médio,0,"0,54","0,0","1,0","0,0","3,0","0,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B01505,42,SP,Médio,0,"0,56","1,0","1,0","1,0","1,0","0,0","0,0","0,0",Será desligado
AUX ADM JR,EMPRESA C,C00609,42,SP,Alto,0,"0,57","0,0","1,0","0,0","1,0","1,0","0,0","0,0",Será desligado
ELETR. MANUTENCAO PL,EMPRESA A,A03340,42,SP,Médio,0,"0,57","0,0","1,0","1,0","2,0","0,0","0,0","0,0",Será desligado
ELETROMECANICO PL,EMPRESA C,C02121,42,SP,Alto,0,"0,57","0,0","1,0","0,0","2,0","0,0","0,0","0,0",Será desligado
ARTIFICE CIVIL,EMPRESA C,C01965,42,SP,Médio,0,"0,64","0,0","1,0","1,0","0,0","0,0","0,0","0,0",Será desligado
SOLDADOR PL,EMPRESA C,C01935,42,SP,Médio,0,"0,64","0,0","1,0","1,0","1,0","0,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B05670,42,SP,Alto,0,"0,67","1,0","1,0","1,0","2,0","0,0","0,0","0,0",Será desligado
TEC EM SEGURANCA PL,EMPRESA C,C02526,42,SP,Médio,0,"0,68","0,0","1,0","0,0","3,0","0,0","0,0","0,0",Será desligado
ELETROTECNICO,EMPRESA C,C02138,42,SP,Médio,0,"0,69","0,0","1,0","0,0","3,0","1,0","0,0","0,0",Será desligado
LIDER DE LIMPEZA,EMPRESA B,B03652,42,SP,Médio,0,"0,69","0,0","1,0","0,0","0,0","0,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B01519,42,SP,Médio,0,"0,72","1,0","1,0","0,0","2,0","0,0","0,0","0,0",Será desligado
AUX SERV GERAIS,EMPRESA B,B01636,42,SP,Médio,0,"0,83","1,0","1,0","1,0","1,0","0,0","0,0","0,0",Será desligado
