Cargo,GRUPO EMPRESA,Matricula,Idade,Estado,Classif. Salário,Situação,Tempo de Empresa,Vale Aliment.,Vale Refei.,Vale Transp.,Qtd. Dependentes,Conv. Médico,Conv. Odonto,Qtd. Promoções
MECANICO JR,EMPRESA A,A11613,18,MG,Médio,1,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B07345,18,SP,Alto,1,0,"0,0","0,0","1,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A11566,18,MG,Médio,1,"0,01","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
ARTIFICE CIVIL,EMPRESA B,B07321,18,GO,Médio,1,"0,03","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA A,A11322,18,MG,Alto,1,"0,11","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA A,A11255,18,MG,Alto,1,"0,14","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
APRENDIZ,EMPRESA A,A10943,18,MG,Alto,1,"0,22","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA A,A10766,18,MG,Alto,1,"0,28","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
1/2 OF DE MANUTENCAO,EMPRESA A,A10599,18,SP,Alto,1,"0,33","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
APRENDIZ,EMPRESA A,A10505,18,MT,Baixo,1,"0,35","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
APRENDIZ,EMPRESA A,A10559,18,SP,Alto,1,"0,35","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX JARDINAGEM,EMPRESA B,B07035,18,ES,Médio,1,"0,36","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
TEC EM SEGURANCA PL,EMPRESA A,A10462,18,MG,Médio,1,"0,37","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
AJUDANTE LIMPEZA,EMPRESA B,B06996,18,SP,Alto,1,"0,39","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
ARTIFICE CIVIL,EMPRESA B,B06982,18,GO,Médio,1,"0,4","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA A,A10393,18,MG,Alto,1,"0,41","1,0","0,0","0,0","0,0","1,0","0,0","1,0"
APRENDIZ,EMPRESA A,A10342,18,SP,Alto,1,"0,41","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
APRENDIZ,EMPRESA A,A10232,18,SP,Alto,1,"0,45","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
APRENDIZ,EMPRESA A,A10070,18,MG,Alto,1,"0,52","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
MECANICO JR,EMPRESA A,A09289,18,MG,Médio,1,"0,79","1,0","0,0","0,0","0,0","1,0","0,0","2,0"
APRENDIZ,EMPRESA C,C04010,18,SP,Alto,1,"0,01","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
AJUDANTE DE MECANICO,EMPRESA C,C04003,18,MG,Alto,1,"0,03","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
AJUDANTE DE MECANICO,EMPRESA A,A11440,18,SP,Alto,1,"0,06","0,0","1,0","1,0","0,0","1,0","0,0","0,0"
AJUDANTE DE MECANICO,EMPRESA A,A10665,18,SP,Alto,1,"0,31","0,0","1,0","1,0","0,0","0,0","1,0","0,0"
SOLDADOR PL,EMPRESA C,C03842,18,MG,Alto,1,"0,35","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
ASSIST ADM PL,EMPRESA C,C03579,18,SP,Médio,1,"0,79","0,0","1,0","1,0","0,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B07342,19,BA,Alto,1,"0,01","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
ASSIST ADM PL,EMPRESA A,A11563,19,MG,Médio,1,"0,01","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
APRENDIZ,EMPRESA A,A11572,19,RJ,Alto,1,"0,01","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
ELETROMECANICO JR,EMPRESA A,A11570,19,TO,Alto,1,"0,01","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A11542,19,MG,Médio,1,"0,02","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B07340,19,SP,Alto,1,"0,02","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A11486,19,MG,Médio,1,"0,04","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX MECANICO REFRIGE,EMPRESA A,A11461,19,MG,Alto,1,"0,06","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AJUDANTE LIMPEZA,EMPRESA B,B07264,19,SP,Alto,1,"0,1","0,0","0,0","0,0","3,0","0,0","1,0","0,0"
AJUDANTE DE MECANICO,EMPRESA A,A11321,19,SP,Alto,1,"0,11","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
MONTADOR DE ANDAIME,EMPRESA A,A11289,19,MT,Alto,1,"0,12","0,0","0,0","0,0","0,0","0,0","1,0","0,0"
ESTAGIARIO,EMPRESA A,A11266,19,SP,Alto,1,"0,12","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
APRENDIZ,EMPRESA C,C03946,19,SP,Alto,1,"0,13","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
APRENDIZ,EMPRESA B,B07235,19,SP,Alto,1,"0,15","0,0","0,0","1,0","1,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A11074,19,MG,Médio,1,"0,18","1,0","0,0","0,0","0,0","1,0","0,0","0,0"
ASSIST ADM JR,EMPRESA A,A10974,19,RJ,Alto,1,"0,2","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
LUBRIFICADOR JR,EMPRESA A,A10945,19,MT,Alto,1,"0,22","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
APRENDIZ,EMPRESA A,A10740,19,MG,Alto,1,"0,28","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA A,A10746,19,MG,Alto,1,"0,28","1,0","0,0","0,0","0,0","1,0","0,0","0,0"
MECANICO JR,EMPRESA A,A10702,19,MG,Médio,1,"0,29","1,0","0,0","0,0","0,0","1,0","0,0","1,0"
AUX SERV GERAIS,EMPRESA A,A10615,19,MG,Alto,1,"0,33","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
TEC EM SEGURANCA PL,EMPRESA A,A10616,19,MG,Médio,1,"0,33","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
APRENDIZ,EMPRESA A,A10558,19,SP,Alto,1,"0,34","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A10541,19,MG,Médio,1,"0,35","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
ASSISTENTE DE PLANEJ,EMPRESA A,A10517,19,MT,Alto,1,"0,35","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
APRENDIZ,EMPRESA A,A10508,19,SP,Alto,1,"0,36","0,0","0,0","1,0","0,0","1,0","1,0","0,0"
APRENDIZ,EMPRESA A,A10536,19,SP,Alto,1,"0,36","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA A,A10499,19,MG,Alto,1,"0,37","1,0","0,0","0,0","0,0","1,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA A,A10122,19,SP,Alto,1,"0,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
APRENDIZ,EMPRESA A,A10083,19,SP,Alto,1,"0,51","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
AJUDANTE DE MECANICO,EMPRESA A,A10078,19,SP,Alto,1,"0,52","1,0","0,0","0,0","0,0","0,0","1,0","0,0"
PINTOR PREDIAL,EMPRESA A,A09994,19,PR,Alto,1,"0,55","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA A,A09814,19,RJ,Alto,1,"0,62","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A09399,19,MG,Médio,1,"0,76","1,0","0,0","0,0","0,0","1,0","0,0","2,0"
AUX SERV GERAIS,EMPRESA A,A09276,19,MG,Alto,1,"0,78","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B06646,19,PR,Alto,1,"0,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
TEC EM SEGURANCA JR,EMPRESA A,A09211,19,MG,Médio,1,"0,83","1,0","0,0","0,0","0,0","1,0","0,0","0,0"
OFICIAL DE MANUTENCAO,EMPRESA A,A09016,19,MG,Alto,1,"0,9","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
LIMPADOR DE VIDROS,EMPRESA B,B06535,19,SP,Alto,1,"0,94","0,0","0,0","1,0","0,0","0,0","0,0","1,0"
MECANICO JR,EMPRESA A,A08837,19,MG,Médio,1,"0,95","1,0","0,0","0,0","0,0","1,0","0,0","2,0"
AUX SERV GERAIS,EMPRESA A,A08745,19,MG,Alto,1,"1,01","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
ARTIFICE CIVIL,EMPRESA B,B06314,19,GO,Médio,1,"1,11","0,0","0,0","0,0","2,0","0,0","1,0","0,0"
MEIO OFIC PEDREIRO,EMPRESA A,A08432,19,MG,Baixo,1,"1,12","1,0","0,0","0,0","0,0","0,0","0,0","1,0"
AJUDANTE DE MECANICO,EMPRESA A,A08136,19,SP,Alto,1,"1,2","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
MECANICO JR,EMPRESA A,A07726,19,MG,Alto,1,"1,41","1,0","0,0","0,0","0,0","1,0","1,0","3,0"
APRENDIZ,EMPRESA A,A07343,19,MG,Médio,1,"1,54","0,0","0,0","0,0","0,0","1,0","1,0","1,0"
ASSIST ADM PL,EMPRESA A,A07361,19,MT,Alto,1,"1,54","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
APRENDIZ,EMPRESA A,A07290,19,PE,Baixo,1,"1,58","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
AJUDANTE DE MECANICO,EMPRESA A,A10848,19,SP,Alto,1,"0,25","0,0","1,0","1,0","0,0","0,0","0,0","0,0"
AUX ADM PL,EMPRESA C,C03885,19,SP,Alto,1,"0,27","0,0","1,0","1,0","0,0","1,0","1,0","0,0"
AJUDANTE DE MECANICO,EMPRESA A,A10453,19,SP,Alto,1,"0,37","0,0","1,0","1,0","0,0","1,0","1,0","0,0"
ELETR. MANUTENCAO PL,EMPRESA C,C03786,19,SP,Alto,1,"0,44","0,0","1,0","1,0","0,0","0,0","0,0","0,0"
OF. DE SERV GERAIS,EMPRESA B,B06871,19,SP,Alto,1,"0,52","0,0","1,0","1,0","1,0","1,0","0,0","0,0"
AJUDANTE DE MECANICO,EMPRESA C,C03642,19,MG,Alto,1,"0,64","0,0","1,0","0,0","0,0","0,0","0,0","1,0"
ALMOXARIFE,EMPRESA A,A11625,20,MG,Alto,1,"-0,01","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A11568,20,MG,Médio,1,"0,01","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
ASSIST SUPORTE TEC,EMPRESA A,A11575,20,SP,Alto,1,"0,01","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUXILIAR ADM PL,EMPRESA A,A11589,20,TO,Baixo,1,"0,01","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AJUDANTE DE MECANICO,EMPRESA A,A11463,20,SP,Alto,1,"0,05","1,0","0,0","0,0","0,0","0,0","1,0","0,0"
ELETR. MANUTENCAO PL,EMPRESA A,A11454,20,MG,Alto,1,"0,06","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
ASSIST FISCAL PL,EMPRESA A,A11383,20,SP,Alto,1,"0,09","0,0","0,0","1,0","0,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA A,A11343,20,RJ,Alto,1,"0,11","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
MECANICO JR,EMPRESA C,C03958,20,SP,Alto,1,"0,12","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA C,C03945,20,SP,Alto,1,"0,14","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX ADM JR,EMPRESA A,A11204,20,GO,Alto,1,"0,15","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA A,A11101,20,MG,Alto,1,"0,16","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
INSTRUMENTISTA MANUT,EMPRESA A,A11186,20,SP,Alto,1,"0,16","0,0","0,0","0,0","1,0","1,0","0,0","0,0"
ASSIST ADM JR,EMPRESA A,A11084,20,MG,Baixo,1,"0,18","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A11078,20,MG,Médio,1,"0,18","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
PINTOR PREDIAL,EMPRESA A,A10877,20,MG,Alto,1,"0,24","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
AJUDANTE LIMPEZA,EMPRESA B,B07153,20,SP,Alto,1,"0,24","1,0","0,0","0,0","1,0","0,0","0,0","0,0"
RECEPCIONISTA,EMPRESA A,A10802,20,RJ,Alto,1,"0,26","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A10770,20,MG,Médio,1,"0,27","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
AUX ALMOXARIFE,EMPRESA A,A10777,20,SP,Alto,1,"0,27","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
MECANICO JR,EMPRESA A,A10768,20,MG,Médio,1,"0,28","1,0","0,0","0,0","0,0","1,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA A,A10620,20,MG,Alto,1,"0,32","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A10608,20,MG,Médio,1,"0,33","1,0","0,0","0,0","0,0","1,0","1,0","1,0"
JARDINEIRO,EMPRESA B,B07031,20,PE,Médio,1,"0,35","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
ASSIST ADM JR,EMPRESA A,A10457,20,RJ,Alto,1,"0,37","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA A,A10358,20,MG,Alto,1,"0,41","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
OFICIAL DE MANUTENCAO,EMPRESA A,A10265,20,MG,Alto,1,"0,45","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
SOLDADOR PL,EMPRESA A,A10016,20,MT,Alto,1,"0,53","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
ELETR. MANUTENCAO PL,EMPRESA A,A10026,20,SP,Alto,1,"0,54","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
PINTOR PREDIAL,EMPRESA B,B06805,20,MG,Alto,1,"0,6","0,0","0,0","0,0","1,0","1,0","0,0","0,0"
ASSISTENTE DE PLANEJ,EMPRESA A,A09823,20,RJ,Alto,1,"0,62","1,0","0,0","0,0","0,0","1,0","1,0","1,0"
AUX SERV GERAIS,EMPRESA A,A09653,20,MG,Alto,1,"0,66","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
TEC EM SEGURANCA JR,EMPRESA A,A09658,20,MG,Alto,1,"0,66","1,0","0,0","0,0","0,0","0,0","1,0","2,0"
MECANICO JR,EMPRESA A,A09698,20,MT,Alto,1,"0,66","1,0","0,0","1,0","0,0","1,0","1,0","0,0"
MECANICO SR,EMPRESA A,A09691,20,MT,Médio,1,"0,66","0,0","0,0","0,0","2,0","0,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA B,B06721,20,BA,Alto,1,"0,69","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
ASSISTENTE DE PLANEJ,EMPRESA A,A09516,20,SP,Médio,1,"0,72","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA A,A09487,20,MG,Alto,1,"0,74","1,0","0,0","0,0","0,0","1,0","0,0","0,0"
AJUDANTE DE MECANICO,EMPRESA A,A09379,20,SP,Alto,1,"0,77","0,0","0,0","1,0","1,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A09327,20,MG,Médio,1,"0,79","1,0","0,0","0,0","0,0","1,0","0,0","2,0"
SUPERVISOR PROJ JR,EMPRESA A,A09223,20,SP,Médio,1,"0,81","0,0","0,0","0,0","0,0","1,0","1,0","1,0"
ASSISTENTE DE PROJ,EMPRESA A,A09184,20,SP,Médio,1,"0,83","0,0","0,0","0,0","1,0","1,0","0,0","0,0"
ASSIST ADM PL,EMPRESA A,A09124,20,SP,Médio,1,"0,85","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUXILIAR ALMOXARIFE,EMPRESA A,A09125,20,SP,Alto,1,"0,85","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA A,A09021,20,RJ,Alto,1,"0,9","1,0","0,0","0,0","0,0","0,0","1,0","0,0"
MECANICO JR,EMPRESA A,A08924,20,MG,Médio,1,"0,91","1,0","0,0","0,0","0,0","1,0","1,0","2,0"
APRENDIZ,EMPRESA A,A08848,20,MG,Alto,1,"0,93","0,0","0,0","0,0","1,0","1,0","1,0","1,0"
LIDER DE OPERACOES,EMPRESA A,A08875,20,MG,Alto,1,"0,93","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
TEC PLANEJA JR,EMPRESA A,A08873,20,MG,Baixo,1,"0,93","1,0","0,0","0,0","0,0","1,0","0,0","0,0"
MECANICO JR,EMPRESA A,A08876,20,MT,Alto,1,"0,93","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
APRENDIZ,EMPRESA A,A08776,20,MG,Médio,1,"0,99","0,0","0,0","0,0","2,0","1,0","0,0","1,0"
AUXILIAR ADM PL,EMPRESA A,A08728,20,TO,Baixo,1,"1,02","0,0","0,0","0,0","0,0","0,0","1,0","1,0"
PINTOR PREDIAL,EMPRESA A,A08587,20,MG,Alto,1,"1,07","1,0","0,0","0,0","0,0","0,0","0,0","1,0"
ALMOXARIFE,EMPRESA A,A08522,20,MG,Alto,1,"1,09","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA A,A08436,20,MG,Alto,1,"1,12","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX DE MANUTENCAO JR,EMPRESA A,A08005,20,RJ,Alto,1,"1,28","1,0","0,0","1,0","0,0","0,0","1,0","0,0"
MECANICO JR,EMPRESA A,A07817,20,MG,Alto,1,"1,37","1,0","0,0","0,0","0,0","1,0","0,0","3,0"
ALMOXARIFE,EMPRESA A,A07773,20,MT,Alto,1,"1,39","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
MECANICO JR,EMPRESA A,A07743,20,MG,Médio,1,"1,4","1,0","0,0","0,0","0,0","1,0","1,0","2,0"
AUX DE MANUTENCAO JR,EMPRESA A,A07587,20,SP,Alto,1,"1,45","0,0","0,0","1,0","0,0","1,0","0,0","0,0"
AUX DE MANUTENCAO JR,EMPRESA A,A06506,20,SP,Alto,1,"1,95","0,0","0,0","1,0","0,0","0,0","1,0","0,0"
AUX ADM JR,EMPRESA A,A05996,20,SP,Alto,1,"2,25","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A05445,20,MG,Alto,1,"2,57","1,0","0,0","0,0","0,0","1,0","0,0","5,0"
AUX PLANEJAMENTO,EMPRESA A,A11507,20,SP,Alto,1,"0,03","1,0","1,0","1,0","0,0","1,0","1,0","0,0"
1/2 OF MEC REFRIGERA,EMPRESA A,A11312,20,SP,Alto,1,"0,12","1,0","1,0","1,0","1,0","1,0","1,0","0,0"
AJUDANTE DE REFRIGER,EMPRESA C,C03947,20,SP,Alto,1,"0,13","0,0","1,0","0,0","0,0","0,0","1,0","0,0"
AJUDANTE DE MECANICO,EMPRESA A,A10849,20,SP,Alto,1,"0,25","0,0","1,0","1,0","0,0","0,0","0,0","0,0"
TEC PLANEJA PL,EMPRESA C,C03889,20,SP,Médio,1,"0,26","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
AJUDANTE DE MECANICO,EMPRESA A,A10714,20,SP,Alto,1,"0,27","0,0","1,0","1,0","0,0","1,0","1,0","0,0"
ELETR. MANUTENCAO PL,EMPRESA C,C03784,20,SP,Alto,1,"0,44","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
OF. DE SERV GERAIS,EMPRESA B,B06771,20,SP,Alto,1,"0,62","0,0","1,0","1,0","1,0","1,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B06513,20,SP,Alto,1,"0,95","1,0","1,0","0,0","0,0","0,0","0,0","0,0"
TELHADISTA,EMPRESA C,C03375,20,SP,Alto,1,"1,33","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
AJUDANTE LIMPEZA,EMPRESA B,B07364,21,SP,Alto,1,0,"0,0","0,0","0,0","1,0","0,0","0,0","0,0"
ALMOXARIFE,EMPRESA A,A11581,21,MG,Alto,1,"0,01","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA A,A11532,21,RJ,Alto,1,"0,03","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B07303,21,MT,Alto,1,"0,07","0,0","0,0","0,0","0,0","0,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA B,B07307,21,MT,Alto,1,"0,07","0,0","0,0","0,0","0,0","0,0","1,0","0,0"
MECANICO JR,EMPRESA A,A11405,21,MG,Médio,1,"0,08","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
AJUDANTE DE MECANICO,EMPRESA A,A11422,21,RS,Alto,1,"0,08","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
ARTIFICE CIVIL,EMPRESA B,B07272,21,GO,Médio,1,"0,09","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A11347,21,MG,Médio,1,"0,11","1,0","0,0","0,0","2,0","1,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA A,A11319,21,SP,Alto,1,"0,11","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AJUDANTE DE REFRIGER,EMPRESA A,A11248,21,SP,Médio,1,"0,15","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
AJUDANTE LIMPEZA,EMPRESA B,B07233,21,SP,Alto,1,"0,15","0,0","0,0","1,0","0,0","0,0","1,0","0,0"
AJUDANTE LIMPEZA,EMPRESA B,B07236,21,SP,Alto,1,"0,15","0,0","0,0","1,0","0,0","0,0","0,0","0,0"
ELETRICISTA MONTADOR,EMPRESA A,A11191,21,SP,Alto,1,"0,16","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
INSTRUMENTISTA MANUT,EMPRESA A,A11184,21,SP,Alto,1,"0,16","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
SOLDADOR,EMPRESA A,A11094,21,MG,Médio,1,"0,17","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
AJUDANTE DE MECANICO,EMPRESA A,A11047,21,SP,Alto,1,"0,18","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
MECANICO JR,EMPRESA A,A11042,21,MG,Médio,1,"0,19","1,0","0,0","0,0","0,0","1,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA A,A11015,21,MG,Alto,1,"0,2","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
ASSIST ADM PL,EMPRESA A,A10970,21,SP,Alto,1,"0,2","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
INSTRUMENTISTA JR,EMPRESA A,A10939,21,RJ,Baixo,1,"0,22","1,0","0,0","1,0","0,0","1,0","1,0","0,0"
MECANICO JR,EMPRESA A,A10792,21,MG,Médio,1,"0,25","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
PINTOR PREDIAL,EMPRESA A,A10840,21,MG,Alto,1,"0,25","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
ALMOXARIFE,EMPRESA A,A10776,21,SP,Alto,1,"0,27","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
JARDINEIRO,EMPRESA B,B07089,21,GO,Alto,1,"0,28","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
ELETR. MANUTENCAO JR,EMPRESA A,A10765,21,MG,Alto,1,"0,28","1,0","0,0","1,0","0,0","1,0","1,0","0,0"
CALDEIREIRO PL,EMPRESA A,A10644,21,RS,Baixo,1,"0,32","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
AUX PLANEJAMENTO,EMPRESA A,A10634,21,TO,Baixo,1,"0,32","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
APRENDIZ,EMPRESA A,A10506,21,MT,Baixo,1,"0,35","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
ASSIST ADM JR,EMPRESA A,A10510,21,MA,Baixo,1,"0,36","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
OFICIAL DE MANUTENCAO,EMPRESA A,A10473,21,MG,Alto,1,"0,37","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
ELETR. MANUTENCAO JR,EMPRESA A,A10429,21,MG,Alto,1,"0,39","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
MECANICO JR,EMPRESA A,A10433,21,MG,Médio,1,"0,39","1,0","0,0","0,0","0,0","1,0","1,0","1,0"
TEC EM SEGURANCA JR,EMPRESA A,A10425,21,MG,Médio,1,"0,39","1,0","0,0","0,0","0,0","1,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B06906,21,PE,Alto,1,"0,47","0,0","0,0","0,0","0,0","1,0","0,0","0,0"
SOLDADOR PL,EMPRESA A,A10147,21,SP,Alto,1,"0,5","1,0","0,0","1,0","0,0","0,0","0,0","1,0"
AUX ADM JR,EMPRESA A,A09972,21,MT,Médio,1,"0,56","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A09821,21,MT,Alto,1,"0,62","1,0","0,0","1,0","0,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B06783,21,SP,Alto,1,"0,62","0,0","0,0","1,0","0,0","0,0","1,0","2,0"
MECANICO JR,EMPRESA A,A09647,21,MG,Alto,1,"0,67","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
AUX ALMOXARIFE,EMPRESA A,A11601,21,GO,Alto,1,"0,68","0,0","0,0","0,0","0,0","1,0","1,0","2,0"
MECANICO PL,EMPRESA A,A09640,21,MA,Alto,1,"0,68","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
AUXILIAR OPERACIONAL,EMPRESA A,A09353,21,RJ,Alto,1,"0,78","1,0","0,0","0,0","0,0","1,0","1,0","0,0"
SOLDADOR,EMPRESA A,A09298,21,MG,Alto,1,"0,79","1,0","0,0","0,0","0,0","1,0","1,0","1,0"
MECANICO JR,EMPRESA A,A09084,21,MG,Médio,1,"0,87","1,0","0,0","0,0","0,0","1,0","0,0","2,0"
CALDEIREIRO PL,EMPRESA A,A09049,21,PR,Alto,1,"0,88","0,0","0,0","0,0","0,0","0,0","1,0","0,0"
ARTIFICE CIVIL,EMPRESA A,A09035,21,SP,Alto,1,"0,89","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
AUX DE MANUTENCAO JR,EMPRESA A,A08864,21,SP,Alto,1,"0,94","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
