Cargo,GRUPO EMPRESA,Matricula,Idade,Estado,Classif. Salário,Situação,Tempo de Empresa,Vale Aliment.,Vale Refei.,Vale Transp.,Qtd. Dependentes,Conv. Médico,Conv. Odonto,Qtd. Promoções
AJUDANTE LIMPEZA,EMPRESA B,B06590,39,TO,Alto,1,"0,87","0,0","0,0","0,0","3,0","1,0","1,0","2,0"
AJUDANTE LIMPEZA,EMPRESA B,B06549,39,SP,Alto,1,"0,91","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
ELETR. MANUTENCAO JR,EMPRESA A,A08874,39,MG,Médio,1,"0,93","1,0","0,0","0,0","2,0","1,0","1,0","0,0"
SOLDADOR,EMPRESA A,A08885,39,MG,Alto,1,"0,93","1,0","0,0","0,0","3,0","1,0","1,0","1,0"
ALMOXARIFE,EMPRESA A,A08760,39,SP,Médio,1,1,"0,0","0,0","0,0","2,0","1,0","1,0","0,0"
ANALISTASISTA DE ESTOQUE,EMPRESA A,A08735,39,MG,Alto,1,"1,01","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
ENG PROJETOS SR,EMPRESA A,A08644,39,SP,Médio,1,"1,03","0,0","0,0","0,0","1,0","1,0","0,0","0,0"
ENCARREGADO PL,EMPRESA A,A08685,39,TO,Alto,1,"1,03","0,0","0,0","0,0","4,0","0,0","1,0","1,0"
ELETROMECANICO PL,EMPRESA A,A08629,39,TO,Alto,1,"1,05","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
JARDINEIRO,EMPRESA B,B06381,39,MT,Alto,1,"1,07","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
ARTIFICE CIVIL,EMPRESA A,A08547,39,SP,Alto,1,"1,08","1,0","0,0","0,0","2,0","0,0","1,0","0,0"
ELETR. MANUTENCAO PL,EMPRESA A,A08546,39,SP,Alto,1,"1,08","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA A,A08445,39,MG,Alto,1,"1,12","1,0","0,0","0,0","0,0","0,0","0,0","0,0"
COMPRADOR SR,EMPRESA A,A08410,39,MG,Alto,1,"1,12","0,0","0,0","0,0","2,0","1,0","1,0","1,0"
1/2 OF DE MANUTENCAO,EMPRESA A,A08230,39,RJ,Alto,1,"1,18","1,0","0,0","1,0","2,0","0,0","1,0","0,0"
1/2 OF DE MANUTENCAO,EMPRESA A,A08251,39,RJ,Alto,1,"1,18","1,0","0,0","1,0","0,0","1,0","1,0","0,0"
OFICIAL DE MANUTENCAO,EMPRESA A,A08132,39,RJ,Alto,1,"1,22","1,0","0,0","1,0","1,0","1,0","0,0","0,0"
LIDER DE MANUTENCAO,EMPRESA A,A08112,39,SP,Alto,1,"1,23","0,0","0,0","0,0","1,0","0,0","1,0","1,0"
OFICIAL DE MANUTENCAO,EMPRESA A,A08053,39,MG,Alto,1,"1,26","1,0","0,0","0,0","2,0","1,0","0,0","0,0"
TEC PLANEJA PL,EMPRESA A,A07969,39,SP,Alto,1,"1,29","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
SUPERVISOR MANUT SR.,EMPRESA A,A07967,39,BA,Alto,1,"1,3","0,0","0,0","0,0","4,0","1,0","1,0","1,0"
MECANICO JR,EMPRESA A,A07922,39,MG,Alto,1,"1,33","0,0","0,0","0,0","0,0","1,0","1,0","0,0"
MECANICO PL,EMPRESA A,A07565,39,MT,Alto,1,"1,48","1,0","0,0","1,0","0,0","1,0","1,0","1,0"
COORD OPERACIONAL,EMPRESA A,A09950,39,SP,Alto,1,"1,48","1,0","0,0","0,0","1,0","1,0","1,0","1,0"
TECNICO REFRIGERACAO,EMPRESA A,A07498,39,MA,Alto,1,"1,51","0,0","0,0","0,0","1,0","0,0","0,0","1,0"
ELETRICISTA MONTADOR,EMPRESA A,A07420,39,PR,Alto,1,"1,52","0,0","0,0","0,0","0,0","0,0","0,0","1,0"
AUX DE MANUTENCAO JR,EMPRESA A,A07432,39,SP,Alto,1,"1,52","1,0","0,0","0,0","1,0","0,0","1,0","0,0"
AUX SERV GERAIS,EMPRESA B,B05836,39,PE,Alto,1,"1,54","0,0","0,0","0,0","4,0","1,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B05854,39,PE,Alto,1,"1,54","0,0","0,0","0,0","2,0","1,0","0,0","0,0"
JARDINEIRO,EMPRESA B,B05855,39,PE,Alto,1,"1,54","0,0","0,0","0,0","2,0","0,0","1,0","0,0"
